"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",87,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",88,7.95,0.498,0.00
"Artoo pack 4 cell .5amp discharge",89,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",90,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",91,7.95,0.498,0.00
"Artoo pack 4 cell .5amp discharge",92,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",93,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",94,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",95,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",96,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",97,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",98,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",99,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",100,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",101,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",102,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",103,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",104,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",105,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",106,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",107,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",108,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",109,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",110,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",111,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",112,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",113,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",114,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",115,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",116,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",117,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",118,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",119,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",120,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",121,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",122,7.95,0.498,0.00
"Artoo pack 4 cell .5amp discharge",123,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",124,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",125,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",126,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",127,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",128,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",129,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",130,7.95,0.501,0.00
