Test,Time,Voltage,Current,Temp (C)
2S1P 122mA discharge,132,8.1,0.122,0
2S1P 122mA discharge,133,8.1,0.122,0
2S1P 122mA discharge,134,8.1,0.122,0
2S1P 122mA discharge,135,8.1,0.122,0
2S1P 122mA discharge,136,8.1,0.12,0
2S1P 122mA discharge,137,8.1,0.122,0
2S1P 122mA discharge,138,8.1,0.122,0
2S1P 122mA discharge,139,8.1,0.122,0
2S1P 122mA discharge,140,8.1,0.122,0
2S1P 122mA discharge,141,8.1,0.122,0
2S1P 122mA discharge,142,8.1,0.12,0
2S1P 122mA discharge,143,8.1,0.122,0
2S1P 122mA discharge,144,8.1,0.122,0
2S1P 122mA discharge,145,8.1,0.124,0
2S1P 122mA discharge,146,8.1,0.122,0
2S1P 122mA discharge,147,8.1,0.12,0
2S1P 122mA discharge,148,8.1,0.122,0
2S1P 122mA discharge,149,8.1,0.122,0
2S1P 122mA discharge,150,8.1,0.122,0
2S1P 122mA discharge,151,8.1,0.122,0
2S1P 122mA discharge,152,8.1,0.12,0
2S1P 122mA discharge,153,8.1,0.122,0
2S1P 122mA discharge,154,8.1,0.122,0
2S1P 122mA discharge,155,8.1,0.124,0
2S1P 122mA discharge,156,8.1,0.122,0
2S1P 122mA discharge,157,8.1,0.12,0
2S1P 122mA discharge,158,8.1,0.122,0
2S1P 122mA discharge,159,8.1,0.124,0
2S1P 122mA discharge,160,8.1,0.122,0
2S1P 122mA discharge,161,8.1,0.122,0
2S1P 122mA discharge,162,8.1,0.12,0
2S1P 122mA discharge,163,8.1,0.122,0
2S1P 122mA discharge,164,8.1,0.122,0
2S1P 122mA discharge,165,8.1,0.122,0
2S1P 122mA discharge,166,8.1,0.122,0
2S1P 122mA discharge,167,8.1,0.12,0
2S1P 122mA discharge,168,8.1,0.122,0
2S1P 122mA discharge,169,8.1,0.122,0
2S1P 122mA discharge,170,8.1,0.124,0
2S1P 122mA discharge,171,8.1,0.122,0
2S1P 122mA discharge,172,8.1,0.12,0
2S1P 122mA discharge,173,8.1,0.122,0
2S1P 122mA discharge,174,8.1,0.122,0
2S1P 122mA discharge,175,8.1,0.124,0
2S1P 122mA discharge,176,8.1,0.122,0
2S1P 122mA discharge,177,8.1,0.12,0
2S1P 122mA discharge,178,8.1,0.124,0
2S1P 122mA discharge,179,8.1,0.122,0
2S1P 122mA discharge,180,8.1,0.122,0
2S1P 122mA discharge,181,8.1,0.122,0
2S1P 122mA discharge,182,8.1,0.12,0
2S1P 122mA discharge,183,8.1,0.122,0
2S1P 122mA discharge,184,8.1,0.122,0
2S1P 122mA discharge,185,8.1,0.122,0
2S1P 122mA discharge,186,8.1,0.122,0
2S1P 122mA discharge,187,8.1,0.12,0
2S1P 122mA discharge,188,8.1,0.122,0
2S1P 122mA discharge,189,8.1,0.124,0
2S1P 122mA discharge,190,8.1,0.124,0
2S1P 122mA discharge,191,8.1,0.122,0
2S1P 122mA discharge,192,8.1,0.12,0
2S1P 122mA discharge,193,8.1,0.124,0
2S1P 122mA discharge,194,8.1,0.122,0
2S1P 122mA discharge,195,8.1,0.122,0
2S1P 122mA discharge,196,8.1,0.122,0
2S1P 122mA discharge,197,8.1,0.12,0
2S1P 122mA discharge,198,8.1,0.122,0
2S1P 122mA discharge,199,8.1,0.124,0
2S1P 122mA discharge,200,8.1,0.122,0
2S1P 122mA discharge,201,8.1,0.122,0
2S1P 122mA discharge,202,8.1,0.12,0
2S1P 122mA discharge,203,8.1,0.122,0
2S1P 122mA discharge,204,8.1,0.124,0
2S1P 122mA discharge,205,8.1,0.124,0
2S1P 122mA discharge,206,8.1,0.122,0
2S1P 122mA discharge,207,8.1,0.12,0
2S1P 122mA discharge,208,8.1,0.124,0
2S1P 122mA discharge,209,8.1,0.122,0
2S1P 122mA discharge,210,8.1,0.122,0
2S1P 122mA discharge,211,8.1,0.122,0
2S1P 122mA discharge,212,8.1,0.12,0
2S1P 122mA discharge,213,8.1,0.122,0
2S1P 122mA discharge,214,8.1,0.122,0
2S1P 122mA discharge,215,8.1,0.122,0
2S1P 122mA discharge,216,8.1,0.122,0
2S1P 122mA discharge,217,8.1,0.12,0
2S1P 122mA discharge,218,8.1,0.122,0
2S1P 122mA discharge,219,8.1,0.124,0
2S1P 122mA discharge,220,8.1,0.122,0
2S1P 122mA discharge,221,8.1,0.122,0
2S1P 122mA discharge,222,8.1,0.122,0
2S1P 122mA discharge,223,8.1,0.122,0
2S1P 122mA discharge,224,8.1,0.122,0
